Category,Licence No.,Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Endorsements,Latitude,Longitude
GROCERY STORE,B50-4201638,LOBLAWS,9054592500,,11 REDWAY RD,"TORONTO, ON",M4H 1P6,REFRESHMENTS;BAKE SHOP;,43.69997345,-79.36015997
GROCERY STORE,B50-4201643,LOBLAWS,9054592500,,720 BROADVIEW AVE,"TORONTO, ON",M4K 2P1,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.67506015,-79.35834301
GROCERY STORE,B50-4201640,LOBLAWS,9054592500,,3501 YONGE ST,"TORONTO, ON",M5B 1S1,REFRESHMENTS;BAKE SHOP;,43.73569021,-79.40449128
GROCERY STORE,B50-4201630,LOBLAWS,9054592500,,10 LOWER JARVIS ST,"TORONTO, ON",M5E 1Z2,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.64449046,-79.36987821
RETAIL STORE (FOOD),B50-4201936,PAVAO MEATS AND DELI #2,4165337667,,245 DIXON RD,"TORONTO, ON",M9P 2M4,REFRESHMENTS;,43.69630567,-79.54527336
RETAIL STORE (FOOD),B50-4202563,TIM HORTONS,6474498467,,"555 UNIVERSITY AVE, MAIN","TORONTO, ON",M5G 1X8,REFRESHMENTS;,43.65737215,-79.38743746
RETAIL STORE (FOOD),B50-4200510,DAVIDSON'S VALU-MART,4164219457,,985 WOODBINE AVE,"TORONTO, ON",M4C 4B8,REFRESHMENTS;BAKE SHOP;,43.68636778,-79.31250395
RETAIL STORE (FOOD),B50-4202436,PHUOC THANH FOOD COMPANY,,,"245 WALLACE AVE, #9","TORONTO, ON",M6H 1V5,FOODSTUFFS;,43.66172434,-79.44655617
RETAIL STORE (FOOD),B50-4200539,PEEK FREAN CO.-COMPANIE PEEK FREAN,4162913713,,"1400 O'CONNOR DR, #11","TORONTO, ON",M4B 2T8,FOODSTUFFS;BAKE SHOP;,43.71358543,-79.30789873
RETAIL STORE (FOOD),B50-4201134,TABOULI,6473511280,,"200 FRONT ST W, F003","TORONTO, ON",M5V 3K2,REFRESHMENTS;,43.64491032,-79.38553682
RETAIL STORE (FOOD),B50-4202167,KABALEN,6473442250,,3778 BATHURST ST,"TORONTO, ON",M3H 3M6,REFRESHMENTS;,43.73808137,-79.43466712
RETAIL STORE (FOOD),B50-4532691,STUDENT CENTRE - STARBUCKS,4169795008,,341 YONGE ST,"TORONTO, ON",M5B 1S1,REFRESHMENTS;,43.65767719,-79.38114608
RETAIL STORE (FOOD),B50-4304019,CANAAN BAKERY,4162232253,,11 SPRING GARDEN AVE,"TORONTO, ON",M2N 3G1,REFRESHMENTS;BAKE SHOP;,43.76427417,-79.41073327
RETAIL STORE (FOOD),B50-4201488,VARIETY PLUS,4167360087,,4909 BATHURST ST,"TORONTO, ON",M2R 1X8,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.77313238,-79.4416619
RETAIL STORE (FOOD),B50-4303891,S P IMPORTERS,4162613881,,2863 LAWRENCE AVE E,"TORONTO, ON",M1P 2S8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.75340696,-79.25387615
RETAIL STORE (FOOD),B50-4203375,LUCKY STATION,4162939438,,"19 MILLIKEN BLVD, #6C","TORONTO, ON",M1V 4A2,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.80308516,-79.29455539
RETAIL STORE (FOOD),B50-4918935,CHATIME,4165519808,,461 QUEEN ST W,"TORONTO, ON",M5V 2A9,REFRESHMENTS;,43.64836617,-79.39725504
RETAIL STORE (FOOD),B50-4689930,CHIALEE MFG CO LTD,4167540985,,"23 MILLIKEN BLVD, B19","TORONTO, ON",M1V 5H7,FOODSTUFFS;,43.80414407,-79.29508169
PHARMACY,B50-4689929,DALECLIFF MEDICAL PHARMACY,4164456978,,"209 ELLESMERE RD, #2","TORONTO, ON",M1R 4E2,FOODSTUFFS;,43.76046396,-79.30296244
RETAIL STORE (FOOD),B50-4706862,DUTY MART INC,4162664520,,2841 LAWRENCE AVE E,"TORONTO, ON",M1P 2S8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.75329226,-79.25447785
RETAIL STORE (FOOD),B50-4725171,BGS VAPE & SMOKE,,,"1205 QUEEN ST W, #8","TORONTO, ON",M6K 1L2,"CIGARS, CIGARETTES & TOBACCO;",43.64187894,-79.42891564
GROCERY STORE,B50-4727776,GALLERIA EXPRESS,9059079474,,351 BLOOR ST W,"TORONTO, ON",M5S 1W7,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.66705128,-79.40100722
PHARMACY,B50-4722136,JANE CENTRE PHARMACY,4167424333,,"2780 JANE ST, #105","TORONTO, ON",M3N 2J2,FOODSTUFFS;,43.74837903,-79.51605817
RETAIL STORE (FOOD),B50-4727806,THE LOOP CREAMERY,,,3797 LAKE SHORE BLVD W,"TORONTO, ON",M8W 1R2,REFRESHMENTS;,43.59233109,-79.54188174
GROCERY STORE,B50-4727807,BAKSH HALAL MEAT EAST AND WEST INDIAN GROCERY,4162439473,,1666 JANE ST,"TORONTO, ON",M9N 2S1,REFRESHMENTS;,43.7020738,-79.50397637
RETAIL STORE (FOOD),B50-4727804,JORDAVELLE'S DESSERTS,6477856914,cell,"40 CARL HALL RD, #103-104","TORONTO, ON",M3K 2C1,REFRESHMENTS;,43.74837668,-79.47911322
RETAIL STORE (FOOD),B50-4727764,AROMA ESPRESSO BAR,4964923294,,"1800 SHEPPARD AVE E, K009","TORONTO, ON",M2J 5A7,REFRESHMENTS;,43.77774825,-79.34449822
RETAIL STORE (FOOD),B50-4725586,LOCHCHANA CAKE HOUSE,4168479849,,2631 EGLINTON AVE E,"TORONTO, ON",M1K 2S2,REFRESHMENTS;,43.73568359,-79.25177167
RETAIL STORE (FOOD),B50-4720202,REAL CANADIAN SUPERSTORE,9054592500,,2549 WESTON RD,"TORONTO, ON",M9N 2A7,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.70995862,-79.53385393
RETAIL STORE (FOOD),B50-4727391,ARTHUR VARIETY,,,2284 ISLINGTON AVE,"TORONTO, ON",M9W 3W8,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",43.71500574,-79.55569178
RETAIL STORE (FOOD),B50-4539533,TTB TRADING CO 2015,4166033043,,415 COLLEGE ST,"TORONTO, ON",M5T 1T1,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.65637486,-79.40675542
RETAIL STORE (FOOD),B50-4540046,NEW MAY HONG YUEN BBQ RESTAURANT,4162918388,,"250 ALTON TOWERS CIR, #1B","TORONTO, ON",M1V 3Z4,REFRESHMENTS;,43.82485349,-79.27753829
GROCERY STORE,B50-4539987,FAMOUS INDIAN SUPERMARKET,4167555425,,"1871 O'CONNOR DR, #5&6","TORONTO, ON",M4A 1X1,REFRESHMENTS;,43.72198563,-79.30349182
RETAIL STORE (FOOD),B50-4538365,CORVETTE SMOKE AND GIFT,4162671539,,"678 KENNEDY RD, #7","TORONTO, ON",M1K 2B5,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",43.72665313,-79.26601433
RETAIL STORE (FOOD),B50-0000181,ARARAT BAKERY LTD,4167825722,,1800 AVENUE RD,"TORONTO, ON",M5M 3Z1,FOODSTUFFS;BAKE SHOP;,43.73035676,-79.41918292
RETAIL STORE (FOOD),B50-0000405,ISAAC'S BAKERY LTD,4167897587,,3390 BATHURST ST,"TORONTO, ON",M6A 2B9,FOODSTUFFS;BAKE SHOP;,43.72655693,-79.43195914
RETAIL STORE (FOOD),B50-0001619,NORTH POLE BAKERY LTD,4164666435,,1210 DANFORTH AVE,"TORONTO, ON",M4J 1M6,REFRESHMENTS;BAKE SHOP;,43.68181491,-79.33190057
RETAIL STORE (FOOD),B50-0003110,VENEZIA BAKERY,4165372914,,114 OSSINGTON AVE,"TORONTO, ON",M6J 2Z4,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;BAKE SHOP;",43.64676038,-79.41999464
RETAIL STORE (FOOD),B50-0005180,STANY BAKERY LTD,,,1015 1/2 PAPE AVE,"TORONTO, ON",M4K 3V8,FOODSTUFFS;BAKE SHOP;,43.68820742,-79.34815541
RETAIL STORE (FOOD),B50-0006576,ESPRESSO BAKERY & DELI,4162363183,,4980 DUNDAS ST W,"TORONTO, ON",M9A 1B7,FOODSTUFFS;BAKE SHOP;,43.64734174,-79.53047135
RETAIL STORE (FOOD),B50-0007038,SWEET BAKERY,4167621487,,3056 DUNDAS ST W,"TORONTO, ON",M6P 1Z7,FOODSTUFFS;BAKE SHOP;,43.66569113,-79.47149764
RETAIL STORE (FOOD),B50-0007111,SUN-LIGHT BAKERY LTD,4166582846,,2512 EGLINTON AVE W,"TORONTO, ON",M6M 1T1,FOODSTUFFS;BAKE SHOP;,43.69146989,-79.47054805
RETAIL STORE (FOOD),B50-0007269,LA ROSE BAKERY,4162489828,,140 LA ROSE AVE,"TORONTO, ON",M9P 1B2,FOODSTUFFS;BAKE SHOP;,43.68563368,-79.5239531
RETAIL STORE (FOOD),B50-0206047,FURAMA CAKE & DESSERTS GARDEN,4165045709,,248-250 SPADINA AVE,"TORONTO, ON",M5T 2C2,REFRESHMENTS;BAKE SHOP;,43.65158476,-79.39784374
GROCERY STORE,B50-0207006,FAHMEE BAKERY & JAMAICAN FOODS,4167542126,,119 MONTEZUMA TRAIL,"TORONTO, ON",M1V 1K4,REFRESHMENTS;BAKE SHOP;,43.81015218,-79.27968814
RETAIL STORE (FOOD),B50-0215001,FURAMA CAKE & DESSERTS GARDEN LTD,4165045709,,"1 STN 1ST CAN PLACE, FM4","TORONTO, ON",M5X 1B5,REFRESHMENTS;BAKE SHOP;,0,0
RETAIL STORE (FOOD),B50-0218954,GOLDEN WHEAT BAKERY AND PASTRY INC,,,652 COLLEGE ST,"TORONTO, ON",M6G 1B8,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.65529397,-79.41624506
RETAIL STORE (FOOD),B50-0223394,SESAME PASTRY & DELI INC,4162590966,,2783 LAKE SHORE BLVD W,"TORONTO, ON",M8V 1H4,FOODSTUFFS;BAKE SHOP;,43.60176031,-79.49975367
RETAIL STORE (FOOD),B50-0229847,ALLAN'S PASTRY SHOP,4162923909,,"3447 KENNEDY RD, #3-4","TORONTO, ON",M1V 3S1,FOODSTUFFS;BAKE SHOP;,43.82124882,-79.30459427
RETAIL STORE (FOOD),B50-0229914,MONTMARTRE BAKERY,,,105 MIDWEST RD,"TORONTO, ON",M1P 3A6,FOODSTUFFS;BAKE SHOP;,43.75454358,-79.26788482
RETAIL STORE (FOOD),B50-0230027,ST URBAIN BAGEL BAKERY LTD,4167262706,,895 EGLINTON AVE W,"TORONTO, ON",M6C 2C1,REFRESHMENTS;BAKE SHOP;,43.70045436,-79.42690973
RETAIL STORE (FOOD),B50-0231836,ARMENIAN VILLAGE BAKERY,4167502928,,"1646 VICTORIA PARK AVE, #4","TORONTO, ON",M1R 1P8,FOODSTUFFS;,43.73093111,-79.30584849
RETAIL STORE (FOOD),B50-0233809,AGINCOURT BAKERY LTD,,,3059 PHARMACY AVE,"TORONTO, ON",M1W 2H1,REFRESHMENTS;BAKE SHOP;,43.79580427,-79.32613187
RETAIL STORE (FOOD),B50-0234068,INDO CANADA BAKERY,,,1002 DANFORTH AVE,"TORONTO, ON",M4J 1M2,REFRESHMENTS;BAKE SHOP;,43.6807693,-79.3369876
RETAIL STORE (FOOD),B50-0235096,CAPRI BAGELS & BUNS,,,84 OAKDALE RD,"TORONTO, ON",M3N 1V9,REFRESHMENTS;BAKE SHOP;,43.7392405,-79.52589246
RETAIL STORE (FOOD),B50-0235099,CAPRI BAGELS & BUNS,,,173 MILLWICK DR,"TORONTO, ON",M9L 2X2,REFRESHMENTS;BAKE SHOP;,43.76011337,-79.57021569
RETAIL STORE (FOOD),B50-0237021,BAKER'S BEST BAKERY,,,"4915 STEELES AVE E, #7","TORONTO, ON",M1V 4Z4,FOODSTUFFS;BAKE SHOP;,43.82671421,-79.29079412
RETAIL STORE (FOOD),B50-0242413,ROSA CHILENA BAKERY,,,788 WILSON AVE,"TORONTO, ON",M3K 1E2,REFRESHMENTS;BAKE SHOP;,43.73130988,-79.46504565
RETAIL STORE (FOOD),B50-0242560,GLOUCESTER BAKERY,4166180922,,131 RAVEL RD,"TORONTO, ON",M2H 1T1,FOODSTUFFS;BAKE SHOP;,43.79072389,-79.36726308
RETAIL STORE (FOOD),B50-0244745,DYNASTY BAKERY & CAFE,,,440 ROGERS RD,"TORONTO, ON",M6M 1A5,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.68280474,-79.46422084
RETAIL STORE (FOOD),B50-0246481,HODO KWAJA,6474303738,,656 BLOOR ST W,"TORONTO, ON",M6G 1K9,FOODSTUFFS;BAKE SHOP;,43.66438824,-79.41561761
RETAIL STORE (FOOD),B50-0246578,CALDENSE BAKERY & PASTRIES,4165343847,,1209 DUNDAS ST W,"TORONTO, ON",M6J 1X3,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.64925492,-79.42264142
RETAIL STORE (FOOD),B50-2904182,SHIRINI SARA PASTRY HOUSE,4165101050,,"1875 LESLIE ST, #6","TORONTO, ON",M3B 2M5,REFRESHMENTS;BAKE SHOP;,43.75640717,-79.3591864
RETAIL STORE (FOOD),B50-3001245,CALABRIA BAKERY,4167551175,,1770-1772 MIDLAND AVE,"TORONTO, ON",M1P 3C2,VICTUALLING;BAKE SHOP;,43.76175117,-79.26966885
RETAIL STORE (FOOD),B50-3008943,NSAWAM BAKERY,4167609750,,945 WESTON RD,"TORONTO, ON",M6N 3R4,REFRESHMENTS;BAKE SHOP;,43.68393887,-79.48207355
RETAIL STORE (FOOD),B50-3014714,DUFFLET PASTRIES,4165361330,,787 QUEEN ST W,"TORONTO, ON",M6J 1G1,REFRESHMENTS;,43.64615604,-79.40840048
RETAIL STORE (FOOD),B50-3082516,MENALON BAKERY,4166542932,,811 ST CLAIR AVE W,"TORONTO, ON",M6C 1B9,FOODSTUFFS;,43.68041317,-79.43069942
RETAIL STORE (FOOD),B50-3090064,TUNG HING BAKERY,4165939375,,"1700 WILSON AVE, #191","TORONTO, ON",M3L 1B2,FOODSTUFFS;BAKE SHOP;,43.7209713,-79.51253119
RETAIL STORE (FOOD),B50-3103936,RED ROSE PATISSERIE,4162236001,,6184 YONGE ST,"TORONTO, ON",M2M 3X1,REFRESHMENTS;,43.79342708,-79.41920752
RETAIL STORE (FOOD),B50-3106770,WHAT A BAGEL,4164809358,,421 SPADINA RD,"TORONTO, ON",M5P 2W3,REFRESHMENTS;BAKE SHOP;,43.68893001,-79.41253886
RETAIL STORE (FOOD),B50-3109941,PATTY KING,4163211034,,321 PROGRESS AVE,"TORONTO, ON",M1P 2Z7,FOODSTUFFS;BAKE SHOP;,43.7735607,-79.26804838
RETAIL STORE (FOOD),B50-3110778,GOURMET BAKERY & DELICATESSEN,4162316113,,1240 ISLINGTON AVE,"TORONTO, ON",M8X 1Y8,FOODSTUFFS;BAKE SHOP;,43.6454226,-79.52407618
RETAIL STORE (FOOD),B50-3117106,PAMPANGUENA BAKERY,4167843312,,852 EGLINTON AVE W,"TORONTO, ON",M6C 2B6,REFRESHMENTS;BAKE SHOP;,43.7011381,-79.42594221
RETAIL STORE (FOOD),B50-3118001,THE BAGEL HOUSE,4164818184,,1548 BAYVIEW AVE,"TORONTO, ON",M4G 3B6,REFRESHMENTS;BAKE SHOP;,43.70483326,-79.37500159
RETAIL STORE (FOOD),B50-3119400,DOCE MINHO PASTRY AND BAKERY,4166528666,,2189 DUFFERIN ST,"TORONTO, ON",M6E 3R9,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.6903272,-79.44771468
RETAIL STORE (FOOD),B50-3123600,PATTIE WORLD BAKERY,4167496111,,"86 GUIDED CRT, D","TORONTO, ON",M9V 5H1,FOODSTUFFS;BAKE SHOP;,43.75420614,-79.60979609
RETAIL STORE (FOOD),B50-3123877,EUROPEAN SAUSAGE HOUSE BAKERY,4166637413,,"145 NORFINCH DR, #5","TORONTO, ON",M3N 1W8,BAKE SHOP;,43.76390441,-79.52949914
RETAIL STORE (FOOD),B50-3126362,QUALITY BREAD BAKERY,4164319829,,"1221 MARKHAM RD, #10-11","TORONTO, ON",M1H 3E2,FOODSTUFFS;BAKE SHOP;,43.77875517,-79.23175381
RETAIL STORE (FOOD),B50-3126484,EURO BAKERY,4167607287,,"130 INDUSTRY ST, #40","TORONTO, ON",M6M 5G3,REFRESHMENTS;BAKE SHOP;,43.69467239,-79.49507291
RETAIL STORE (FOOD),B50-3129181,WHAT-A-BAGEL,4169161237,,"808 YORK MILLS RD, #22","TORONTO, ON",M3B 1X8,FOODSTUFFS;BAKE SHOP;,43.75364112,-79.35785415
RETAIL STORE (FOOD),B50-3129458,HARBORD BAKERY,4169225767,,115-117 HARBORD ST,"TORONTO, ON",M5S 1G7,REFRESHMENTS;,43.66238505,-79.40446021
RETAIL STORE (FOOD),B50-3239385,CALDENSE BAKERY & PASTRIES III,4165359993,,337 SYMINGTON AVE,"TORONTO, ON",M6P 3X1,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;",43.66651905,-79.45126135
RETAIL STORE (FOOD),B50-3243438,R NARAINES BAKERY INC,4162986611,,"2691 MARKHAM RD, #11","TORONTO, ON",M1X 1L4,FOODSTUFFS;BAKE SHOP;,43.82012053,-79.24307184
RETAIL STORE (FOOD),B50-3243735,SELECT BAKERY PATISSERIE,4164212400,,405 DONLANDS AVE,"TORONTO, ON",M4J 3S2,REFRESHMENTS;BAKE SHOP;,43.69412597,-79.34253044
RETAIL STORE (FOOD),B50-3245075,DUFFLET,4165361330,,2638 YONGE ST,"TORONTO, ON",M4P 2J5,REFRESHMENTS;BAKE SHOP;,43.71568886,-79.40056702
RETAIL STORE (FOOD),B50-3247424,GLOUCESTER BAKERY,4166180922,,681 SILVER STAR BLVD,"TORONTO, ON",M1V 5N1,FOODSTUFFS;BAKE SHOP;,43.82370329,-79.29882673
RETAIL STORE (FOOD),B50-3253075,PASCAL'S BAGUETTE AND BAGELS,4165328762,,2904 DUNDAS ST W,"TORONTO, ON",M6P 1Y8,FOODSTUFFS;BAKE SHOP;,43.66564301,-79.46635429
RETAIL STORE (FOOD),B50-3254813,MMMUFFINS,4165943749,,"40 KING ST W, #136","TORONTO, ON",M5H 3Y2,REFRESHMENTS;,43.64947905,-79.37956619
RETAIL STORE (FOOD),B50-3355508,BAKERY ON THE GO,4162644706,,"701 WARDEN AVE, SUBWAY","TORONTO, ON",M1L 3Z5,FOODSTUFFS;BAKE SHOP;,43.71159702,-79.27946972
RETAIL STORE (FOOD),B50-3357189,SAINT PIO BAKERY,4162490762,,2133 JANE ST,"TORONTO, ON",M3M 1A2,FOODSTUFFS;BAKE SHOP;,43.71974431,-79.50774456
RETAIL STORE (FOOD),B50-3359846,MESSINA BAKERY,4167622496,,19 SCARLETT RD,"TORONTO, ON",M6N 4J5,FOODSTUFFS;BAKE SHOP;,43.66672579,-79.49902232
RETAIL STORE (FOOD),B50-3360112,THE BAGEL HOUSE,4167810032,,1722 AVENUE RD,"TORONTO, ON",M5M 3Y6,REFRESHMENTS;BAKE SHOP;,43.72830358,-79.41835385
RETAIL STORE (FOOD),B50-3362431,PATISSERIE LA CIGOGNE,4164871234,,1626 BAYVIEW AVE,"TORONTO, ON",M4G 3B7,REFRESHMENTS;BAKE SHOP;,43.70654838,-79.37582177
RETAIL STORE (FOOD),B50-3362657,ZANE PATISSERIE & BOULANGERIE,4166902813,,1852 QUEEN ST E,"TORONTO, ON",M4L 1H1,FOODSTUFFS;BAKE SHOP;,43.66859408,-79.30761906
RETAIL STORE (FOOD),B50-3366282,DAILY BREAD BAKERY,4166330220,,332 WILSON AVE,"TORONTO, ON",M3H 1S9,REFRESHMENTS;BAKE SHOP;,43.7369575,-79.43754781
RETAIL STORE (FOOD),B50-3366634,PORT UNION BAKERY,4162815614,,287 PORT UNION RD,"TORONTO, ON",M1C 2L3,FOODSTUFFS;BAKE SHOP;,43.78936381,-79.1397794
RETAIL STORE (FOOD),B50-3372335,INTERNATIONAL BAKERY,4167492220,,"2588 FINCH AVE W, #101","TORONTO, ON",M9M 2G3,REFRESHMENTS;BAKE SHOP;,43.74870053,-79.56160629
RETAIL STORE (FOOD),B50-3473771,SUN VIEW BAKERY,4162938897,,"4438 SHEPPARD AVE E, #206A","TORONTO, ON",M1S 5V9,BAKE SHOP;,43.78803647,-79.26774663
RETAIL STORE (FOOD),B50-3473825,CHIU KEI FOOD COMPANY,4163356001,,"4400 SHEPPARD AVE E, #10","TORONTO, ON",M1S 5J5,REFRESHMENTS;BAKE SHOP;,43.78788704,-79.26987734
RETAIL STORE (FOOD),B50-3474589,AROMAZ CAKE & PASTRIES,4163213232,,"2301 BRIMLEY RD, #139","TORONTO, ON",M1S 5B8,FOODSTUFFS;BAKE SHOP;,43.79795996,-79.27118024
RETAIL STORE (FOOD),B50-3476290,STEELES BAKERY,4162238776,,6235 BATHURST ST,"TORONTO, ON",M2R 2A5,FOODSTUFFS;BAKE SHOP;,43.79099231,-79.44514502
RETAIL STORE (FOOD),B50-3477785,NOVA ERA BAKERY & PASTRY VIII,4165387700,,200 GEARY AVE,"TORONTO, ON",M6H 2B9,"CIGARS, CIGARETTES & TOBACCO;VICTUALLING;BAKE SHOP;",43.67001053,-79.43775498
RETAIL STORE (FOOD),B50-3477815,NOVA ERA BAKERY SUPPLY,4165387700,,192 GEARY AVE,"TORONTO, ON",M6H 2B9,BAKE SHOP;,43.67010344,-79.4374875
RETAIL STORE (FOOD),B50-3480224,OLD FASHIONED BAGEL FACTORY,4163985538,,1450 WHITEHORSE RD,"TORONTO, ON",M3J 3A7,FOODSTUFFS;BAKE SHOP;,43.75786767,-79.47175747
RETAIL STORE (FOOD),B50-3481828,SOLERO MEDITERRANEAN BAKERY,4167632562,,3029 DUNDAS ST W,"TORONTO, ON",M6P 1Z4,FOODSTUFFS;BAKE SHOP;,43.66529141,-79.47002448
RETAIL STORE (FOOD),B50-3483393,BAKE SALE ON THE KINGSWAY,4167926167,,3076 BLOOR ST W,"TORONTO, ON",M8X 1C8,FOODSTUFFS;BAKE SHOP;,43.64702101,-79.51415647
RETAIL STORE (FOOD),B50-3486245,MISTAAN CATERING & SWEETS INC,4165022737,,460 MCNICOLL AVE,"TORONTO, ON",M2H 2E1,REFRESHMENTS;,43.80446196,-79.34179262
RETAIL STORE (FOOD),B50-3486266,GRYFES BAGEL BAKERY,4167831552,,3421-23 BATHURST ST,"TORONTO, ON",M6A 2C1,FOODSTUFFS;BAKE SHOP;,43.72718886,-79.4312215
RETAIL STORE (FOOD),B50-3487426,SUPER BAKERS,4162516369,,1122B THE QUEENSWAY,"TORONTO, ON",M8Z 1P7,FOODSTUFFS;BAKE SHOP;,43.62287297,-79.51907538
RETAIL STORE (FOOD),B50-3500378,CHRIS BREAD BAKERY,4162674897,,2617 EGLINTON AVE E,"TORONTO, ON",M1K 2S2,FOODSTUFFS;BAKE SHOP;,43.7355318,-79.25246231
RETAIL STORE (FOOD),B50-3592860,HAIROUN BAKERY,4167543854,,2256 BIRCHMOUNT RD,"TORONTO, ON",M1T 2M2,FOODSTUFFS;BAKE SHOP;,43.78039469,-79.29803358
RETAIL STORE (FOOD),B50-3594146,WHAT-A-BAGEL,4167899428,,973 EGLINTON AVE W,"TORONTO, ON",M6C 2C4,REFRESHMENTS;BAKE SHOP;,43.69989432,-79.42950069
RETAIL STORE (FOOD),B50-3596592,CHINESE BAKERY,,,433 DUNDAS ST W,"TORONTO, ON",M5T 1G6,FOODSTUFFS;BAKE SHOP;,43.65327733,-79.39558069
RETAIL STORE (FOOD),B50-3598846,EPI BREADS,4164881952,,1526 BAYVIEW AVE,"TORONTO, ON",M4G 3B4,REFRESHMENTS;BAKE SHOP;,43.70399833,-79.3748365
RETAIL STORE (FOOD),B50-0000390,VIENNA MEAT PRODUCTS LTD,,,1050 BIRCHMOUNT RD,"TORONTO, ON",M1K 1S4,REFRESHMENTS;BAKE SHOP;,43.73364198,-79.27984288
RETAIL STORE (FOOD),B50-0000432,MACELLERIA VENEZIA LTD,4165312522,,906 BLOOR ST W,"TORONTO, ON",M6H 1L1,REFRESHMENTS;,43.66198928,-79.42635068
RETAIL STORE (FOOD),B50-0001224,BROWN BROTHERS PURVEYORS LTD,,,91 FRONT ST E,"TORONTO, ON",M5E 1C2,REFRESHMENTS;,43.64901903,-79.37188756
GROCERY STORE,B50-0001778,NORTOWN FOODS LTD,,,890 92 EGLINTON AVE W,"TORONTO, ON",M6C 2B6,REFRESHMENTS;BAKE SHOP;,43.70088072,-79.42717496
GROCERY STORE,B50-0002644,BIG FISH MARKET,4162591585,,765 THE QUEENSWAY,"TORONTO, ON",M8Z 1N1,REFRESHMENTS;,43.6257972,-79.50424118
RETAIL STORE (FOOD),B50-0003824,ST LAWRENCE UPPERCUT MEAT PACKERS LTD,,,"91 FRONT ST E, STALL 16","TORONTO, ON",M5E 1C3,REFRESHMENTS;,43.64901903,-79.37188756
RETAIL STORE (FOOD),B50-0004525,KINGSWAY MEAT PRODUCTS,,,2342 BLOOR ST W,"TORONTO, ON",M6S 1P3,REFRESHMENTS;BAKE SHOP;,43.65033607,-79.48096723
