"Category","Licence No.","Operating Name","Issued","Client Name","Business Phone","Business Phone Ext.","Licence Address Line 1","Licence Address Line 2","Licence Address Line 3","Conditions","Free Form Conditions Line 1","Free Form Conditions Line 2","Plate No.","Endorsements","Cancel Date","Latitude","Longitude"
"RETAIL STORE (FOOD)","B50-4201638","LOBLAWS","07-NOV-2012","LOBLAWS INC","9054592500","","11 REDWAY RD","TORONTO, ON","M4H 1P6","INCIDENTAL 'TAKE OUT' SEATING ONLY;","O/A STARBUCKS; INCIDENTAL SEATING OF 2 TABLES & 8 CHAIRS","","","REFRESHMENTS;BAKE SHOP;","",43.699973448,-79.360159965
"RETAIL STORE (FOOD)","B50-4201643","LOBLAWS","07-NOV-2012","LOBLAWS INC","9054592500","","720 BROADVIEW AVE","TORONTO, ON","M4K 2P1","NO SEATING ACCOMMODATION;","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.6750601458,-79.3583430075
"RETAIL STORE (FOOD)","B50-4201640","LOBLAWS","07-NOV-2012","LOBLAWS INC","9054592500","","3501 YONGE ST","TORONTO, ON","M5B 1S1","NO SEATING ACCOMMODATION;","194-1","","","REFRESHMENTS;BAKE SHOP;","",43.7356902132,-79.404491275
"RETAIL STORE (FOOD)","B50-4201630","LOBLAWS","07-NOV-2012","LOBLAWS INC","9054592500","","10 LOWER JARVIS ST","TORONTO, ON","M5E 1Z2","SEATING CAPACITY UNDER 40;","O/A STARBUCKS","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.644490462,-79.369878209
"RETAIL STORE (FOOD)","B50-4201936","PAVAO MEATS AND DELI #2","11-JAN-2013","2327088 ONTARIO LTD","4165337667","","245 DIXON RD","TORONTO, ON","M9P 2M4","SHARED ADDRESS;","","","","REFRESHMENTS;","",43.6963056723,-79.5452733604
"RETAIL STORE (FOOD)","B50-4202563","TIM HORTONS","02-JAN-2013","2348565 ONTARIO INC","6474498467","","555 UNIVERSITY AVE, MAIN","TORONTO, ON","M5G 1X8","COMMON SEATING;","","","","REFRESHMENTS;","",43.6573721494,-79.3874374634
"RETAIL STORE (FOOD)","B50-4200510","DAVIDSON'S VALU-MART","02-JAN-2013","2342249 ONTARIO LTD","4164219457","","985 WOODBINE AVE","TORONTO, ON","M4C 4B8","","","","","REFRESHMENTS;BAKE SHOP;","",43.6863677752,-79.3125039549
"RETAIL STORE (FOOD)","B50-4202436","PHUOC THANH FOOD COMPANY","09-JAN-2013","1416652 ONTARIO INC","","","245 WALLACE AVE, #9","TORONTO, ON","M6H 1V5","","WHOLESALE FROZEN MEAT","","","FOODSTUFFS;","",43.661724337,-79.44655617
"RETAIL STORE (FOOD)","B50-4200539","PEEK FREAN CO.-COMPANIE PEEK FREAN","04-JAN-2013","MONDELEZ CANADA INC","4162913713","","1400 O'CONNOR DR, #11","TORONTO, ON","M4B 2T8","","BAKERY TO SELL ONLY","","","FOODSTUFFS;BAKE SHOP;","",43.7135854277,-79.3078987335
"RETAIL STORE (FOOD)","B50-4201134","TABOULI","11-JAN-2013","2307910 ONTARIO INC","6473511280","","200 FRONT ST W, F003","TORONTO, ON","M5V 3K2","COMMON SEATING;","","","","REFRESHMENTS;","",43.6449103221,-79.3855368173
"RETAIL STORE (FOOD)","B50-4202167","KABALEN","07-JAN-2013","KABALEN INC","6473442250","","3778 BATHURST ST","TORONTO, ON","M3H 3M6","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.7380813694,-79.4346671224
"RETAIL STORE (FOOD)","B50-4532691","STUDENT CENTRE - STARBUCKS","09-FEB-2015","RYERSON UNIVERSITY","4169795008","","341 YONGE ST","TORONTO, ON","M5B 1S1","COMMON SEATING;","","","","REFRESHMENTS;","",43.657677186,-79.3811460815
"RETAIL STORE (FOOD)","B50-4304019","CANAAN BAKERY","10-JAN-2013","YANG,WONG CHIL/YANG,BONG SUNG","4162232253","","11 SPRING GARDEN AVE","TORONTO, ON","M2N 3G1","NO SEATING ACCOMMODATION;",""" BAKING ON PREMISES ""","","","REFRESHMENTS;BAKE SHOP;","",43.7642741716,-79.4107332687
"RETAIL STORE (FOOD)","B50-4201488","VARIETY PLUS","10-JAN-2013","JWDJG-7 HOLD CO INC","4167360087","","4909 BATHURST ST","TORONTO, ON","M2R 1X8","","LOCATED IN FINCH-URST PLAZA","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;","",43.773132381,-79.441661896
"RETAIL STORE (FOOD)","B50-4303891","S P IMPORTERS","08-JAN-2013","S P IMPORTERS INC","4162613881","","2863 LAWRENCE AVE E","TORONTO, ON","M1P 2S8","","""CONSUMPTION OF FOODS & DRINKS OFF THE PREMISES ONLY"".","BSMT TO BE USED FOR STORAGE ONLY FOR OCCUPANT","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.75340696,-79.253876153
"RETAIL STORE (FOOD)","B50-4203375","LUCKY STATION","15-JAN-2013","FONG, LARRY PO WAH","4162939438","","19 MILLIKEN BLVD, #6C","TORONTO, ON","M1V 4A2","","","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.80308516,-79.294555387
"RETAIL STORE (FOOD)","B50-4918935","CHATIME","27-MAR-2019","2620495 ONTARIO INC","4165519808","","461 QUEEN ST W","TORONTO, ON","M5V 2A9","NO SEATING ACCOMMODATION;","3 SEATS FOR INCIDENTAL 'TAKE OUT' SEATING ONLY","","","REFRESHMENTS;","",43.648366173,-79.3972550438
"RETAIL STORE (FOOD)","B50-4689930","CHIALEE MFG CO LTD","12-DEC-2016","CHIALEE MFG CO LTD","4167540985","","23 MILLIKEN BLVD, B19","TORONTO, ON","M1V 5H7","","","","","FOODSTUFFS;","",43.8041440713,-79.2950816884
"RETAIL STORE (FOOD)","B50-4689929","DALECLIFF MEDICAL PHARMACY","12-DEC-2016","DALECLIFF LTD","4164456978","","209 ELLESMERE RD, #2","TORONTO, ON","M1R 4E2","","","","","FOODSTUFFS;","",43.7604639635,-79.3029624358
"RETAIL STORE (FOOD)","B50-4706862","DUTY MART INC","10-FEB-2017","DUTY MART INC","4162664520","","2841 LAWRENCE AVE E","TORONTO, ON","M1P 2S8","","LOCATED IN HILLSIDE PLAZA - SUBJECT TO BENDALE COMMUNITY","BY-LAW 9350","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.753292255,-79.254477852
"RETAIL STORE (FOOD)","B50-4725171","BGS VAPE & SMOKE","07-JUL-2017","2373133 ONTARIO LTD","","","1205 QUEEN ST W, #8","TORONTO, ON","M6K 1L2","","","","","CIGARS, CIGARETTES & TOBACCO;","",43.6418789386,-79.4289156431
"RETAIL STORE (FOOD)","B50-4727776","GALLERIA EXPRESS","07-JUL-2017","GALLERIA EXPRESS INC","9059079474","","351 BLOOR ST W","TORONTO, ON","M5S 1W7","","","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.6670512792,-79.4010072213
"RETAIL STORE (FOOD)","B50-4722136","JANE CENTRE PHARMACY","07-JUL-2017","ELIAS & ROFAEL BMKC INC","4167424333","","2780 JANE ST, #105","TORONTO, ON","M3N 2J2","","","","","FOODSTUFFS;","",43.7483790286,-79.5160581714
"RETAIL STORE (FOOD)","B50-4727806","THE LOOP CREAMERY","07-JUL-2017","WOODFIRE GROUP LTD","","","3797 LAKE SHORE BLVD W","TORONTO, ON","M8W 1R2","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.5923310944,-79.5418817444
"RETAIL STORE (FOOD)","B50-4727807","BAKSH HALAL MEAT EAST AND WEST INDIAN GROCERY","07-JUL-2017","BAKSH, JACQUELINE","4162439473","","1666 JANE ST","TORONTO, ON","M9N 2S1","","","","","REFRESHMENTS;","",43.7020737989,-79.503976367
"RETAIL STORE (FOOD)","B50-4727804","JORDAVELLE'S DESSERTS","07-JUL-2017","ST ANGE, DENISE SYLVIA","6477856914","cell","40 CARL HALL RD, #103-104","TORONTO, ON","M3K 2C1","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.7483766822,-79.4791132214
"RETAIL STORE (FOOD)","B50-4727764","AROMA ESPRESSO BAR","06-JUL-2017","AROMA FV INC","4964923294","","1800 SHEPPARD AVE E, K009","TORONTO, ON","M2J 5A7","COMMON SEATING;","","","","REFRESHMENTS;","",43.7777482543,-79.3444982153
"RETAIL STORE (FOOD)","B50-4725586","LOCHCHANA CAKE HOUSE","05-JUL-2017","2579500 ONTARIO INC","4168479849","","2631 EGLINTON AVE E","TORONTO, ON","M1K 2S2","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.7356835942,-79.2517716678
"RETAIL STORE (FOOD)","B50-4720202","REAL CANADIAN SUPERSTORE","05-JUL-2017","LOBLAWS INC","9054592500","","2549 WESTON RD","TORONTO, ON","M9N 2A7","SEATING CAPACITY OVER 30;","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.7099586211,-79.5338539255
"RETAIL STORE (FOOD)","B50-4727391","ARTHUR VARIETY","06-JUL-2017","2571173 ONTARIO INC","","","2284 ISLINGTON AVE","TORONTO, ON","M9W 3W8","","","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;","",43.7150057387,-79.5556917823
"RETAIL STORE (FOOD)","B50-4539533","TTB TRADING CO 2015","01-SEP-2015","TTB TRADING CO 2015 LTD","4166033043","","415 COLLEGE ST","TORONTO, ON","M5T 1T1","","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;","",43.6563748633,-79.406755418
"RETAIL STORE (FOOD)","B50-4540046","NEW MAY HONG YUEN BBQ RESTAURANT","06-AUG-2015","2312636 ONTARIO INC","4162918388","","250 ALTON TOWERS CIR, #1B","TORONTO, ON","M1V 3Z4","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;","",43.8248534876,-79.2775382895
"RETAIL STORE (FOOD)","B50-4539987","FAMOUS INDIAN SUPERMARKET","06-AUG-2015","2474848 ONTARIO LTD","4167555425","","1871 O'CONNOR DR, #5&6","TORONTO, ON","M4A 1X1","","AS PER ZONING BY-LAW NO 7625, AS AMENDED","","","REFRESHMENTS;","",43.7219856343,-79.3034918199
"RETAIL STORE (FOOD)","B50-4538365","CORVETTE SMOKE AND GIFT","05-AUG-2015","HAN,MANBO/HAN,MYUNG KYUNG","4162671539","","678 KENNEDY RD, #7","TORONTO, ON","M1K 2B5","NO SEATING ACCOMMODATION;","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;","",43.726653131,-79.2660143327
"RETAIL STORE (FOOD)","B50-0000181","","11-OCT-1979","ARARAT BAKERY LTD","4167825722","","1800 AVENUE RD","TORONTO, ON","M5M 3Z1","","","","","FOODSTUFFS;BAKE SHOP;","",43.7303567551,-79.4191829165
"RETAIL STORE (FOOD)","B50-0000405","","26-MAR-1980","ISAAC'S BAKERY LTD","4167897587","","3390 BATHURST ST","TORONTO, ON","M6A 2B9","","","","","FOODSTUFFS;BAKE SHOP;","",43.726556927,-79.4319591396
"RETAIL STORE (FOOD)","B50-0001619","","01-JAN-1966","NORTH POLE BAKERY LTD","4164666435","","1210 DANFORTH AVE","TORONTO, ON","M4J 1M6","NO SEATING ACCOMMODATION;","","","","REFRESHMENTS;BAKE SHOP;","",43.681814906,-79.3319005661
"RETAIL STORE (FOOD)","B50-0003110","VENEZIA BAKERY","01-JAN-1961","VENEZIA BAKERY LTD","4165372914","","114 OSSINGTON AVE","TORONTO, ON","M6J 2Z4","","","","","CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;BAKE SHOP;","",43.6467603786,-79.4199946445
"RETAIL STORE (FOOD)","B50-0005180","","15-JUN-1978","STANY BAKERY LTD","","","1015 1/2 PAPE AVE","TORONTO, ON","M4K 3V8","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.6882074175,-79.3481554073
"RETAIL STORE (FOOD)","B50-0006576","ESPRESSO BAKERY & DELI","10-JUN-1986","BORTOLUSSI, GIUSEPPINA","4162363183","","4980 DUNDAS ST W","TORONTO, ON","M9A 1B7","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.6473417408,-79.5304713487
"RETAIL STORE (FOOD)","B50-0007038","SWEET BAKERY","13-APR-1987","SWEET TROLEY BAKERY LTD","4167621487","","3056 DUNDAS ST W","TORONTO, ON","M6P 1Z7","","","","","FOODSTUFFS;BAKE SHOP;","",43.6656911283,-79.4714976436
"RETAIL STORE (FOOD)","B50-0007111","","13-MAR-1987","SUN-LIGHT BAKERY LTD","4166582846","","2512 EGLINTON AVE W","TORONTO, ON","M6M 1T1","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.6914698872,-79.470548045
"RETAIL STORE (FOOD)","B50-0007269","LA ROSE BAKERY","09-APR-1981","LA ROSE BAKERY LTD","4162489828","","140 LA ROSE AVE","TORONTO, ON","M9P 1B2","","","","","FOODSTUFFS;BAKE SHOP;","",43.6856336775,-79.5239531048
"RETAIL STORE (FOOD)","B50-0206047","FURAMA CAKE & DESSERTS GARDEN","29-MAY-1990","FURAMA CAKE & DESSERTS GARDEN LTD","4165045709","","248-250 SPADINA AVE","TORONTO, ON","M5T 2C2","SEATING CAPACITY UNDER 40;","","","","REFRESHMENTS;BAKE SHOP;","",43.6515847566,-79.3978437427
"RETAIL STORE (FOOD)","B50-0207006","FAHMEE BAKERY & JAMAICAN FOODS","17-JUL-1990","831006 ONTARIO INC","4167542126","","119 MONTEZUMA TRAIL","TORONTO, ON","M1V 1K4","NO SEATING ACCOMMODATION;","BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",43.8101521802,-79.2796881395
"RETAIL STORE (FOOD)","B50-0215001","FURAMA CAKE & DESSERTS GARDEN LTD","18-NOV-1991","FURAMA CAKE & DESSERTS GARDEN LTD","4165045709","","1 STN 1ST CAN PLACE, FM4","TORONTO, ON","M5X 1B5","NO SEATING ACCOMMODATION;","SOME BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",0,0
"RETAIL STORE (FOOD)","B50-0218954","GOLDEN WHEAT BAKERY AND PASTRY INC","22-JUN-1992","GOLDEN WHEAT BAKERY AND PASTRY INC","","","652 COLLEGE ST","TORONTO, ON","M6G 1B8","SEATING CAPACITY OVER 30;CAFE ON PUBLIC PROPERTY - FRONT;","BAKING ON PREMISES","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.6552939654,-79.416245058
"RETAIL STORE (FOOD)","B50-0223394","SESAME PASTRY & DELI INC","11-MAR-1993","SESAME PASTRY & DELI INC","4162590966","","2783 LAKE SHORE BLVD W","TORONTO, ON","M8V 1H4","","","","","FOODSTUFFS;BAKE SHOP;","",43.6017603125,-79.4997536669
"RETAIL STORE (FOOD)","B50-0229847","ALLAN'S PASTRY SHOP","15-MAR-1994","ALLAN'S PASTRY SHOP LTD","4162923909","","3447 KENNEDY RD, #3-4","TORONTO, ON","M1V 3S1","","BAKING ON PREMISESSUBJECT TO EXCEPTION #23.  PART B(B)","","","FOODSTUFFS;BAKE SHOP;","",43.821248816,-79.3045942709
"RETAIL STORE (FOOD)","B50-0229914","MONTMARTRE BAKERY","17-MAR-1994","1045498 ONTARIO LTD","","","105 MIDWEST RD","TORONTO, ON","M1P 3A6","","","","","FOODSTUFFS;BAKE SHOP;","",43.7545435835,-79.2678848164
"RETAIL STORE (FOOD)","B50-0230027","ST URBAIN BAGEL BAKERY LTD","21-MAR-1994","ST URBAIN BAGEL BAKERY LTD","4167262706","","895 EGLINTON AVE W","TORONTO, ON","M6C 2C1","NO SEATING ACCOMMODATION;",""" BAKING ON PREMISES ""","","","REFRESHMENTS;BAKE SHOP;","",43.7004543618,-79.4269097332
"RETAIL STORE (FOOD)","B50-0231836","ARMENIAN VILLAGE BAKERY","15-JUN-1994","ABOU ARRAJ, PHILIPS","4167502928","","1646 VICTORIA PARK AVE, #4","TORONTO, ON","M1R 1P8","","BAKING ON THE PREMISES, WHOLESALE ONLY","","","FOODSTUFFS;","",43.7309311107,-79.3058484915
"RETAIL STORE (FOOD)","B50-0233809","AGINCOURT BAKERY LTD","21-OCT-1994","AGINCOURT BAKERY LTD","","","3059 PHARMACY AVE","TORONTO, ON","M1W 2H1","SEATING CAPACITY UNDER 40;","","","","REFRESHMENTS;BAKE SHOP;","",43.7958042722,-79.3261318693
"RETAIL STORE (FOOD)","B50-0234068","INDO CANADA BAKERY","04-NOV-1994","PATHAN, ABBASKHAN","","","1002 DANFORTH AVE","TORONTO, ON","M4J 1M2","NO SEATING ACCOMMODATION;","BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",43.6807692985,-79.336987601
"RETAIL STORE (FOOD)","B50-0235096","CAPRI BAGELS & BUNS","06-JAN-1995","CAPRI BAGELS & BUNS INC","","","84 OAKDALE RD","TORONTO, ON","M3N 1V9","SEATING CAPACITY UNDER 40;","","","","REFRESHMENTS;BAKE SHOP;","",43.7392404975,-79.5258924595
"RETAIL STORE (FOOD)","B50-0235099","CAPRI BAGELS & BUNS","06-JAN-1995","CAPRI BAGELS & BUNS INC","","","173 MILLWICK DR","TORONTO, ON","M9L 2X2","SEATING CAPACITY OVER 30;","TAKE-OUT","","","REFRESHMENTS;BAKE SHOP;","",43.7601133709,-79.5702156913
"RETAIL STORE (FOOD)","B50-0237021","BAKER'S BEST BAKERY","13-APR-1995","EDELGON MARKETING CORP","","","4915 STEELES AVE E, #7","TORONTO, ON","M1V 4Z4","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.826714212,-79.290794118
"RETAIL STORE (FOOD)","B50-0242413","ROSA CHILENA BAKERY","01-MAR-1996","ROSA CHILENA BAKERY INC","","","788 WILSON AVE","TORONTO, ON","M3K 1E2","NO SEATING ACCOMMODATION;","BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",43.7313098817,-79.4650456536
"RETAIL STORE (FOOD)","B50-0242560","GLOUCESTER BAKERY","11-MAR-1996","AJSLEE INC","4166180922","","131 RAVEL RD","TORONTO, ON","M2H 1T1","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.790723894,-79.367263078
"RETAIL STORE (FOOD)","B50-0244745","DYNASTY BAKERY & CAFE","08-JUL-1996","1157562 ONTARIO LTD","","","440 ROGERS RD","TORONTO, ON","M6M 1A5","SEATING CAPACITY UNDER 40;","","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.6828047412,-79.4642208404
"RETAIL STORE (FOOD)","B50-0246481","HODO KWAJA","18-OCT-1996","LEE, JONG SIK","6474303738","","656 BLOOR ST W","TORONTO, ON","M6G 1K9","","BAKING ON PREMISES","","","FOODSTUFFS;BAKE SHOP;","",43.6643882391,-79.4156176127
"RETAIL STORE (FOOD)","B50-0246578","CALDENSE BAKERY & PASTRIES","24-OCT-1996","CALDENSE BAKERY & PASTRIES INC","4165343847","","1209 DUNDAS ST W","TORONTO, ON","M6J 1X3","SEATING CAPACITY UNDER 40;","BAKING ON PREMISES","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.6492549235,-79.422641424
"RETAIL STORE (FOOD)","B50-2904182","SHIRINI SARA PASTRY HOUSE","01-JAN-1997","SHIRINI SARA PASTRY HOUSE LTD","4165101050","","1875 LESLIE ST, #6","TORONTO, ON","M3B 2M5","NO SEATING ACCOMMODATION;","BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",43.7564071704,-79.3591864007
"RETAIL STORE (FOOD)","B50-3001245","CALABRIA BAKERY","21-JAN-1997","MANGICO INC","4167551175","","1770-1772 MIDLAND AVE","TORONTO, ON","M1P 3C2","SEATING CAPACITY UNDER 40;","BAKING ON PREMISSES.""BAKERY PLUS RESTRICTED TO 200 SQ FT FOR","ANCILLARY EATING FACILITY BY MINOR VARIANCE A145/94"".","","VICTUALLING;BAKE SHOP;","",43.761751174,-79.2696688519
"RETAIL STORE (FOOD)","B50-3008943","NSAWAM BAKERY","27-JUN-1997","MORKEH, SARAH","4167609750","","945 WESTON RD","TORONTO, ON","M6N 3R4","NO SEATING ACCOMMODATION;","BAKING ON PREMISES","","","REFRESHMENTS;BAKE SHOP;","",43.6839388682,-79.4820735531
"RETAIL STORE (FOOD)","B50-3014714","DUFFLET PASTRIES","01-JAN-1998","BEST BAKING INC","4165361330","","787 QUEEN ST W","TORONTO, ON","M6J 1G1","SEATING CAPACITY UNDER 40;","","","","REFRESHMENTS;","",43.6461560414,-79.4084004759
"RETAIL STORE (FOOD)","B50-3082516","MENALON BAKERY","28-MAY-1998","MENALON BAKERY LTD","4166542932","","811 ST CLAIR AVE W","TORONTO, ON","M6C 1B9","","","","","FOODSTUFFS;","",43.6804131669,-79.4306994196
"RETAIL STORE (FOOD)","B50-3090064","TUNG HING BAKERY","01-JAN-1999","1239911 ONTARIO INC","4165939375","","1700 WILSON AVE, #191","TORONTO, ON","M3L 1B2","","","","","FOODSTUFFS;BAKE SHOP;","",43.7209712989,-79.5125311905
"RETAIL STORE (FOOD)","B50-3103936","RED ROSE PATISSERIE","29-FEB-2000","RED ROSE CANADA INC","4162236001","","6184 YONGE ST","TORONTO, ON","M2M 3X1","SEATING CAPACITY UNDER 40;","","","","REFRESHMENTS;","",43.7934270807,-79.4192075165
"RETAIL STORE (FOOD)","B50-3106770","WHAT A BAGEL","27-JUN-2000","1359820 ONTARIO LTD","4164809358","","421 SPADINA RD","TORONTO, ON","M5P 2W3","SEATING CAPACITY UNDER 40;CAFE ON PUBLIC PROPERTY - FRONT;","","","","REFRESHMENTS;BAKE SHOP;","",43.6889300066,-79.4125388565
"RETAIL STORE (FOOD)","B50-3109941","PATTY KING","23-JUN-2000","618410 ONTARIO LTD","4163211034","","321 PROGRESS AVE","TORONTO, ON","M1P 2Z7","NO SEATING ACCOMMODATION;",""" BAKING ON PREMISES "" ANCILLARY RETAILING IS PERMITTED AND","SHALL NOT EXCEED 10% OF THE GROSS FLOOR AREA OF 250 SQ MT","","FOODSTUFFS;BAKE SHOP;","",43.7735606988,-79.2680483815
"RETAIL STORE (FOOD)","B50-3110778","GOURMET BAKERY & DELICATESSEN","21-JUN-2000","MOYASH ENTERPRISES LTD","4162316113","","1240 ISLINGTON AVE","TORONTO, ON","M8X 1Y8","SHARED ADDRESS;","LOCATED IN ISLINGTON SUBWAY STATION","","","FOODSTUFFS;BAKE SHOP;","",43.6454226002,-79.5240761815
"RETAIL STORE (FOOD)","B50-3117106","PAMPANGUENA BAKERY","12-FEB-2001","PAMPANGUENA INC","4167843312","","852 EGLINTON AVE W","TORONTO, ON","M6C 2B6","NO SEATING ACCOMMODATION;","BAKING ON PREMISES/INCIDENTAL BAKING ONLY","A.K.A. 854 EGLINTON AVE W","","REFRESHMENTS;BAKE SHOP;","",43.7011381019,-79.4259422111
"RETAIL STORE (FOOD)","B50-3118001","THE BAGEL HOUSE","28-FEB-2001","1440790 ONTARIO LTD","4164818184","","1548 BAYVIEW AVE","TORONTO, ON","M4G 3B6","SEATING CAPACITY UNDER 40;","BAKING ON PREMISES","""A.K.A. 1550 BAYVIEW AVE"".","","REFRESHMENTS;BAKE SHOP;","",43.7048332606,-79.3750015949
"RETAIL STORE (FOOD)","B50-3119400","DOCE MINHO PASTRY AND BAKERY","22-MAR-2001","DOCE MINHO PASTRY AND BAKERY LTD","4166528666","","2189 DUFFERIN ST","TORONTO, ON","M6E 3R9","SEATING CAPACITY OVER 30;CAFE ON PUBLIC PROPERTY - FRONT;","BAKING ON PREMISES","","","CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;BAKE SHOP;","",43.6903272041,-79.4477146764
"RETAIL STORE (FOOD)","B50-3123600","PATTIE WORLD BAKERY","15-AUG-2001","ROBINSON, LINFORD","4167496111","","86 GUIDED CRT, D","TORONTO, ON","M9V 5H1","","BAKING ON PREMISES","NO SEATING ALLOWED","","FOODSTUFFS;BAKE SHOP;","",43.7542061381,-79.6097960866
"RETAIL STORE (FOOD)","B50-3123877","EUROPEAN SAUSAGE HOUSE BAKERY","06-JUN-2001","LAKATOS,MIKLOS/LAKATOSNE DEBRECENI,AGNES","4166637413","","145 NORFINCH DR, #5","TORONTO, ON","M3N 1W8","","BAKING ON PREMISES","","","BAKE SHOP;","",43.7639044064,-79.5294991447
